id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,url,club_team_id,club_team_2_id,national_team_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp
3962,3119,Paul Robinson,Paul,Robinson,Paul Robinson,paul-robinson,40,193,90,Premier League,Domestic League,2011/2012,2011,2012,https://footystats.org/players/england/paul-robinson,216,-1,-1,Goalkeeper,3060,1620,1440,308818800,England,eu,34,18,16,0,0,0,2,1,3,64,27,37,1,0,1,0,0,-1,0.03,0.03,0.0,9,0.0,0.0,0,1,48,0,0,0,90,0,3060,0.0,316,268,157,14,1336417200
172888,3119,Míchel Salgado Fernández,Míchel,Salgado Fernández,Míchel Salgado Fernández,michel-salgado-fernandez,44,174,75,Premier League,Domestic League,2011/2012,2011,2012,https://footystats.org/players/spain/michel-salgado-fernandez,216,-1,-1,Defender,656,199,457,183193200,Spain,eu,9,3,6,0,0,0,0,0,0,13,3,10,0,0,0,0,0,-1,0.0,0.0,0.0,0,0.0,0.0,0,1,50,4,4,0,73,164,0,0.55,426,370,149,24,1323610200
4352,3119,Martin Olsson,Martin,Olsson,Martin Olsson,martin-olsson,32,178,81,Premier League,Domestic League,2011/2012,2011,2012,https://footystats.org/players/sweden/martin-olsson,216,-1,-1,Defender,2180,1142,1038,579855600,Sweden,eu,27,12,11,0,0,0,2,1,3,41,15,26,2,0,2,0,0,-1,0.08,0.08,0.0,11,0.0,0.0,0,1,53,4,4,1,81,545,1090,0.17,347,208,138,29,1336917600
7192,3119,Grant Hanley,Grant,Hanley,Grant Hanley,grant-hanley,28,187,81,Premier League,Domestic League,2011/2012,2011,2012,https://footystats.org/players/scotland/grant-hanley,216,-1,-1,Defender,1805,865,940,690624000,Scotland,eu,23,9,10,1,0,1,1,1,2,41,15,26,0,0,0,0,0,-1,0.05,0.0,0.05,9,0.0,0.1,1805,2,44,6,6,0,78,301,0,0.3,242,330,168,11,1334412000
24255,3119,Brett Emerton,Brett,Emerton,Brett Emerton,brett-emerton,41,185,85,Premier League,Domestic League,2011/2012,2011,2012,https://footystats.org/players/australia/brett-emerton,216,-1,-1,Midfielder,136,136,0,288518400,Australia,eu,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0.0,0.0,0.0,0,0.0,0.0,0,0,136,1,1,0,68,136,0,0.66,-1,-1,-1,28,1314453600
12838,3119,Morten Gamst Pedersen,Morten,Gamst Pedersen,Morten Gamst Pedersen,morten-gamst-pedersen,39,183,74,Premier League,Domestic League,2011/2012,2011,2012,https://footystats.org/players/norway/morten-gamst-pedersen,216,-1,-1,Midfielder,2835,1457,1378,368780400,Norway,eu,33,17,16,3,1,2,2,1,3,60,24,36,6,2,4,0,0,-1,0.29,0.19,0.1,9,0.06,0.13,945,1,47,6,6,0,86,473,473,0.19,173,86,-1,4,1336917600
8238,3119,David Dunn,David,Dunn,David Dunn,david-dunn,40,178,88,Premier League,Domestic League,2011/2012,2011,2012,https://footystats.org/players/england/david-dunn,216,-1,-1,Midfielder,1611,817,794,315129600,England,eu,26,11,10,2,2,0,1,1,2,34,13,21,1,1,0,0,1,0,0.17,0.06,0.11,8,0.22,0.0,806,1,47,5,5,1,62,322,1611,0.28,162,224,-1,5,1336417200
28628,3119,Mauro Abel Fórmica,Mauro Abel,Fórmica,Mauro Abel Fórmica,mauro-abel-formica,32,178,67,Premier League,Domestic League,2011/2012,2011,2012,https://footystats.org/players/argentina/mauro-abel-formica,216,-1,-1,Midfielder,2172,1127,1045,576140400,Argentina,eu,34,13,12,4,4,0,2,1,3,43,20,23,1,0,1,0,1,0,0.21,0.04,0.17,9,0.32,0.0,543,1,51,3,3,0,64,724,2172,0.12,119,252,-1,3,1336917600
3278,3119,Steven N'Kemboanza Mike Christopher N'Zonzi,Steven N'Kemboanza Mike Christopher,N'Zonzi,Steven N'Kemboanza Mike Christopher N'Zonzi,steven-nkemboanza-mike-christopher-nzonzi,31,196,75,Premier League,Domestic League,2011/2012,2011,2012,https://footystats.org/players/france/steven-nkemboanza-mike-christopher-nzonzi,216,-1,-1,Midfielder,2810,1440,1370,598176000,France,eu,32,16,15,2,1,1,1,1,2,61,26,35,5,3,2,0,0,-1,0.22,0.16,0.06,6,0.06,0.07,1405,1,46,7,7,0,88,401,562,0.22,229,112,-1,6,1334412000
45926,3119,Jason Roberts,Jason,Roberts,Jason Roberts,jason-roberts,42,185,92,Premier League,Domestic League,2011/2012,2011,2012,https://footystats.org/players/grenada/jason-roberts,216,-1,-1,Forward,466,275,191,254563200,Grenada,eu,10,3,2,0,0,0,0,0,0,10,5,5,1,1,0,0,0,-1,0.19,0.19,0.0,0,0.0,0.0,0,1,47,2,2,0,47,233,466,0.39,348,87,-1,27,1319378400
4644,3119,David Junior Hoilett,David Junior,Hoilett,David Junior Hoilett,david-junior-hoilett,30,173,70,Premier League,Domestic League,2011/2012,2011,2012,https://footystats.org/players/canada/david-junior-hoilett,216,-1,-1,Forward,2954,1483,1471,644569200,Canada,eu,34,17,17,7,2,5,2,1,3,61,24,37,5,3,2,0,1,0,0.37,0.15,0.21,9,0.12,0.31,422,1,48,5,5,0,87,591,591,0.15,87,114,-1,2,1336917600
