id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.
59,Arsenal FC,Arsenal,Arsenal FC,arsenal-fc,England,,1886,https://cdn.footystats.org/img/teams/england-arsenal-fc.png,,2009/2010,,https://footystats.org/clubs/england/arsenal-fc,,,3,3,111,Domestic League,3125,Arsenal FC,[],https://www.arsenal.com/
92,Tottenham Hotspur FC,Tottenham Hotspur,Tottenham Hotspur FC,tottenham-hotspur-fc,England,,1882,https://cdn.footystats.org/img/teams/england-tottenham-hotspur-fc.png,,2009/2010,,https://footystats.org/clubs/england/tottenham-hotspur-fc,,,4,4,74,Domestic League,3125,Tottenham Hotspur FC,[],https://www.tottenhamhotspur.com/
93,Manchester City FC,Manchester City,Manchester City FC,manchester-city-fc,England,,1880,https://cdn.footystats.org/img/teams/england-manchester-city-fc.png,,2009/2010,,https://footystats.org/clubs/england/manchester-city-fc,,,5,5,103,Domestic League,3125,Manchester City FC,['Man City'],https://www.mancity.com/
141,Stoke City FC,Stoke City,Stoke City FC,stoke-city-fc,England,,1868,https://cdn.footystats.org/img/teams/england-stoke-city-fc.png,,2009/2010,,https://footystats.org/clubs/england/stoke-city-fc,,,11,11,42,Domestic League,3125,Stoke City FC,[],https://www.stokecityfc.com/
144,Everton FC,Everton,Everton FC,everton-fc,England,,1878,https://cdn.footystats.org/img/teams/england-everton-fc.png,,2009/2010,,https://footystats.org/clubs/england/everton-fc,,,8,8,79,Domestic League,3125,Everton FC,[],https://www.evertonfc.com/
145,Burnley FC,Burnley,Burnley FC,burnley-fc,England,,1882,https://cdn.footystats.org/img/teams/england-burnley-fc.png,,2009/2010,,https://footystats.org/clubs/england/burnley-fc,,,18,18,92,Domestic League,3125,Burnley FC,[],https://www.burnleyfootballclub.com/
149,Manchester United FC,Manchester United,Manchester United FC,manchester-united-fc,England,,1878,https://cdn.footystats.org/img/teams/england-manchester-united-fc.png,,2009/2010,,https://footystats.org/clubs/england/manchester-united-fc,,,2,2,92,Domestic League,3125,Manchester United FC,['Man Utd'],https://www.manutd.com/
150,Hull City AFC,Hull City,Hull City AFC,hull-city-afc,England,,1904,https://cdn.footystats.org/img/teams/england-hull-city-afc.png,,2009/2010,,https://footystats.org/clubs/england/hull-city-afc,,,19,19,76,Domestic League,3125,Hull City AFC,[],https://www.hullcitytigers.com/
151,Liverpool FC,Liverpool,Liverpool FC,liverpool-fc,England,,1892,https://cdn.footystats.org/img/teams/england-liverpool-fc.png,,2009/2010,,https://footystats.org/clubs/england/liverpool-fc,,,7,7,58,Domestic League,3125,Liverpool FC,[],https://www.liverpoolfc.com/
152,Chelsea FC,Chelsea,Chelsea FC,chelsea-fc,England,,1905,https://cdn.footystats.org/img/teams/england-chelsea-fc.png,,2009/2010,,https://footystats.org/clubs/england/chelsea-fc,,,1,1,113,Domestic League,3125,Chelsea FC,[],https://www.chelseafc.com/en
