id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.,official_sites.service@fortuna-duesseldorf.de
33,BVB 09 Borussia Dortmund,Borussia Dortmund,BVB 09 Borussia Dortmund,bvb-09-borussia-dortmund,Germany,,1909,https://cdn.footystats.org/img/teams/germany-bvb-09-borussia-dortmund.png,,2018/2019,,https://footystats.org/clubs/germany/bvb-09-borussia-dortmund,,,2,2,115,Domestic League,1636,BVB 09 Borussia Dortmund,[],https://www.bvb.de/eng,
34,1. FSV Mainz 05,Mainz 05,1 FSV Mainz 05,1-fsv-mainz-05,Germany,,1905,https://cdn.footystats.org/img/teams/germany-1-fsv-mainz-05.png,,2018/2019,,https://footystats.org/clubs/germany/1-fsv-mainz-05,,,12,12,97,Domestic League,1636,1. FSV Mainz 05,[],https://www.mainz05.de,
35,FC Schalke 04,Schalke 04,FC Schalke 04,fc-schalke-04,Germany,,1904,https://cdn.footystats.org/img/teams/germany-fc-schalke-04.png,,2018/2019,,https://footystats.org/clubs/germany/fc-schalke-04,,,14,14,62,Domestic League,1636,FC Schalke 04,[],https://schalke04.de/en/,
37,SV Werder Bremen,Werder Bremen,SV Werder Bremen,sv-werder-bremen,Germany,,1899,https://cdn.footystats.org/img/teams/germany-sv-werder-bremen.png,,2018/2019,,https://footystats.org/clubs/germany/sv-werder-bremen,,,8,8,100,Domestic League,1636,SV Werder Bremen,[],https://www.werder.de/en,
38,FC Bayern München,Bayern München,FC Bayern Munchen,fc-bayern-munchen,Germany,,1900,https://cdn.footystats.org/img/teams/germany-fc-bayern-munchen.png,,2018/2019,,https://footystats.org/clubs/germany/fc-bayern-munchen,,,1,1,103,Domestic League,1636,FC Bayern München,[],https://fcbayern.com/en,
39,Borussia VfL Mönchengladbach,Borussia M'gladbach,Borussia VfL Monchengladbach,borussia-vfl-monchengladbach,Germany,,1900,https://cdn.footystats.org/img/teams/germany-borussia-vfl-monchengladbach.png,,2018/2019,,https://footystats.org/clubs/germany/borussia-vfl-monchengladbach,,,5,5,82,Domestic League,1636,Borussia VfL Mönchengladbach,[],https://www.borussia.de/english/home.html,
40,Bayer 04 Leverkusen,Bayer Leverkusen,Bayer 04 Leverkusen,bayer-04-leverkusen,Germany,,1904,https://cdn.footystats.org/img/teams/germany-bayer-04-leverkusen.png,,2018/2019,,https://footystats.org/clubs/germany/bayer-04-leverkusen,,,4,4,109,Domestic League,1636,Bayer 04 Leverkusen,[],https://www.bayer04.de/en-us,
42,SC Freiburg,Freiburg,SC Freiburg,sc-freiburg,Germany,,1904,https://cdn.footystats.org/img/teams/germany-sc-freiburg.png,,2018/2019,,https://footystats.org/clubs/germany/sc-freiburg,,,13,13,76,Domestic League,1636,SC Freiburg,[],https://www.scfreiburg.com/,
43,VfL Wolfsburg,Wolfsburg,VfL Wolfsburg,vfl-wolfsburg,Germany,,1945,https://cdn.footystats.org/img/teams/germany-vfl-wolfsburg.png,,2018/2019,,https://footystats.org/clubs/germany/vfl-wolfsburg,,,6,6,91,Domestic League,1636,VfL Wolfsburg,[],https://www.vfl-wolfsburg.de/en/info.html,
44,Eintracht Frankfurt,Eintracht Frankfurt,Eintracht Frankfurt,eintracht-frankfurt,Germany,,1899,https://cdn.footystats.org/img/teams/germany-eintracht-frankfurt.png,,2018/2019,,https://footystats.org/clubs/germany/eintracht-frankfurt,,,7,7,106,Domestic League,1636,Eintracht Frankfurt,[],https://www.eintracht.de/,
