id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,url,club_team_id,club_team_2_id,national_team_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp
974,3,Manuel Neuer,Manuel,Neuer,Manuel Neuer,manuel-neuer,34,193,92,Bundesliga,Domestic League,2016/2017,2016,2017,https://footystats.org/players/germany/manuel-neuer,38,-1,-1,Goalkeeper,2340,1080,1260,512294400,Germany,eu,26,12,14,0,0,0,7,7,14,13,5,8,0,0,0,0,0,-1,0.0,0.0,0.0,54,0.0,0.0,0,0,180,0,0,0,90,0,0,0.0,281,383,1,18,1492273800
975,3,Philipp Lahm,Philipp,Lahm,Philipp Lahm,philipp-lahm,36,170,66,Bundesliga,Domestic League,2016/2017,2016,2017,https://footystats.org/players/germany/philipp-lahm,38,-1,-1,Defender,2090,863,1227,437385600,Germany,eu,26,10,14,1,1,0,7,7,14,15,3,12,2,2,0,0,0,-1,0.13,0.09,0.04,54,0.1,0.0,2090,0,139,1,1,0,80,2090,1045,0.04,219,166,5,14,1495287000
977,3,Mats Hummels,Mats,Hummels,Mats Hummels,mats-hummels,31,191,92,Bundesliga,Domestic League,2016/2017,2016,2017,https://footystats.org/players/germany/mats-hummels,38,-1,-1,Defender,2181,1011,1170,598262400,Germany,eu,27,11,13,1,1,0,7,6,13,15,6,9,1,0,1,0,0,-1,0.08,0.04,0.04,48,0.09,0.0,2181,0,145,4,4,0,81,545,2181,0.17,214,221,3,16,1493483400
462411,3,David Olatukunbo Alaba,David,Olatukunbo Alaba,David Alaba,david-alaba,28,180,78,Bundesliga,Domestic League,2016/2017,2016,2017,https://footystats.org/players/austria/david-alaba,38,-1,-1,Defender,2508,1012,1496,709369200,Austria,eu,32,12,17,4,1,3,8,8,16,17,4,13,4,3,1,0,0,-1,0.29,0.14,0.14,50,0.09,0.18,627,0,148,1,1,0,78,2508,627,0.04,135,104,2,8,1495287000
979,3,Xabier Alonso Olano,Xabier,Alonso Olano,Xabi Alonso,xabi-alonso,38,183,80,Bundesliga,Domestic League,2016/2017,2016,2017,https://footystats.org/players/spain/xabi-alonso,38,-1,-1,Midfielder,1906,1023,883,375523200,Spain,eu,27,11,11,3,3,0,6,5,11,16,7,9,2,1,1,0,0,-1,0.24,0.09,0.14,41,0.26,0.0,635,0,119,6,6,0,71,318,953,0.28,134,158,-1,10,1495287000
460881,3,Franck Bilal Ribéry,Franck Bilal,Ribéry,Franck Ribery,franck-ribery,37,170,72,Bundesliga,Domestic League,2016/2017,2016,2017,https://footystats.org/players/france/franck-ribery,38,-1,-1,Midfielder,1241,703,538,418550400,France,eu,22,8,6,5,4,1,6,5,11,9,4,5,11,8,3,0,0,-1,1.16,0.8,0.36,50,0.51,0.17,248,0,138,2,2,0,56,621,113,0.15,38,2,-1,5,1494682200
461470,3,Javier Martínez Aginaga,Javier,Martínez Aginaga,Javi Martinez,javi-martinez,32,192,86,Bundesliga,Domestic League,2016/2017,2016,2017,https://footystats.org/players/spain/javi-martinez,38,-1,-1,Midfielder,2135,1044,1091,589186800,Spain,eu,25,12,13,1,0,1,7,8,15,9,5,4,1,0,1,0,0,-1,0.08,0.04,0.04,60,0.0,0.08,2135,0,237,5,5,0,85,427,2135,0.21,210,226,-1,13,1493483400
461884,3,Arturo Erasmo Vidal Pardo,Arturo Erasmo,Vidal Pardo,Arturo Vidal,arturo-vidal,33,180,75,Bundesliga,Domestic League,2016/2017,2016,2017,https://footystats.org/players/chile/arturo-vidal,38,-1,-1,Midfielder,1824,1106,718,548665200,Chile,eu,27,13,8,4,3,1,7,6,13,12,7,5,2,1,1,0,0,-1,0.3,0.1,0.2,48,0.24,0.13,456,0,152,8,8,0,68,228,912,0.39,94,148,-1,7,1495287000
982,3,Thiago Alcântara do Nascimento,Thiago,Alcântara do Nascimento,Thiago Alcantara,thiago-alcantara,29,174,70,Bundesliga,Domestic League,2016/2017,2016,2017,https://footystats.org/players/spain/thiago-alcantara,38,-1,-1,Midfielder,2291,1046,1245,671353200,Spain,eu,27,12,14,6,5,1,8,8,16,15,5,10,5,3,2,0,0,-1,0.43,0.2,0.24,59,0.43,0.07,382,0,153,4,4,0,85,573,458,0.16,78,65,-1,4,1494682200
983,3,Thomas Müller,Thomas,Müller,Thomas Müller,thomas-muller,31,186,75,Bundesliga,Domestic League,2016/2017,2016,2017,https://footystats.org/players/germany/thomas-muller,38,-1,-1,Forward,2264,1022,1242,621673200,Germany,eu,29,11,14,5,3,2,8,8,16,13,6,7,12,7,5,0,0,-1,0.68,0.48,0.2,55,0.26,0.14,453,0,174,0,0,0,78,0,189,0.0,96,8,-1,6,1495287000
