id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.,official_sites.info@vfl-bochum.de
33,BVB 09 Borussia Dortmund,Borussia Dortmund,BVB 09 Borussia Dortmund,bvb-09-borussia-dortmund,Germany,,1909,https://cdn.footystats.org/img/teams/germany-bvb-09-borussia-dortmund.png,,2009/2010,,https://footystats.org/clubs/germany/bvb-09-borussia-dortmund,,,5,5,82,Domestic League,4140,BVB 09 Borussia Dortmund,[],https://www.bvb.de/eng,
34,1. FSV Mainz 05,Mainz 05,1 FSV Mainz 05,1-fsv-mainz-05,Germany,,1905,https://cdn.footystats.org/img/teams/germany-1-fsv-mainz-05.png,,2009/2010,,https://footystats.org/clubs/germany/1-fsv-mainz-05,,,9,9,62,Domestic League,4140,1. FSV Mainz 05,[],https://www.mainz05.de,
35,FC Schalke 04,Schalke 04,FC Schalke 04,fc-schalke-04,Germany,,1904,https://cdn.footystats.org/img/teams/germany-fc-schalke-04.png,,2009/2010,,https://footystats.org/clubs/germany/fc-schalke-04,,,2,2,76,Domestic League,4140,FC Schalke 04,[],https://schalke04.de/en/,
36,Hamburger SV,Hamburger SV,Hamburger SV,hamburger-sv,Germany,,1887,https://cdn.footystats.org/img/teams/germany-hamburger-sv.png,,2009/2010,,https://footystats.org/clubs/germany/hamburger-sv,,,7,7,88,Domestic League,4140,Hamburger SV,[],https://www.hsv.de/en/overview/,
37,SV Werder Bremen,Werder Bremen,SV Werder Bremen,sv-werder-bremen,Germany,,1899,https://cdn.footystats.org/img/teams/germany-sv-werder-bremen.png,,2009/2010,,https://footystats.org/clubs/germany/sv-werder-bremen,,,3,3,79,Domestic League,4140,SV Werder Bremen,[],https://www.werder.de/en,
38,FC Bayern München,Bayern München,FC Bayern Munchen,fc-bayern-munchen,Germany,,1900,https://cdn.footystats.org/img/teams/germany-fc-bayern-munchen.png,,2009/2010,,https://footystats.org/clubs/germany/fc-bayern-munchen,,,1,1,100,Domestic League,4140,FC Bayern München,[],https://fcbayern.com/en,
39,Borussia VfL Mönchengladbach,Borussia M'gladbach,Borussia VfL Monchengladbach,borussia-vfl-monchengladbach,Germany,,1900,https://cdn.footystats.org/img/teams/germany-borussia-vfl-monchengladbach.png,,2009/2010,,https://footystats.org/clubs/germany/borussia-vfl-monchengladbach,,,12,12,100,Domestic League,4140,Borussia VfL Mönchengladbach,[],https://www.borussia.de/english/home.html,
40,Bayer 04 Leverkusen,Bayer Leverkusen,Bayer 04 Leverkusen,bayer-04-leverkusen,Germany,,1904,https://cdn.footystats.org/img/teams/germany-bayer-04-leverkusen.png,,2009/2010,,https://footystats.org/clubs/germany/bayer-04-leverkusen,,,4,4,94,Domestic League,4140,Bayer 04 Leverkusen,[],https://www.bayer04.de/en-us,
41,1. FC Köln,Köln,1 FC Koln,1-fc-koln,Germany,,1948,https://cdn.footystats.org/img/teams/germany-1-fc-koln.png,,2009/2010,,https://footystats.org/clubs/germany/1-fc-koln,,,13,13,53,Domestic League,4140,1. FC Köln,[],https://fc.de/en/fc-info/home/,
42,SC Freiburg,Freiburg,SC Freiburg,sc-freiburg,Germany,,1904,https://cdn.footystats.org/img/teams/germany-sc-freiburg.png,,2009/2010,,https://footystats.org/clubs/germany/sc-freiburg,,,14,14,82,Domestic League,4140,SC Freiburg,[],https://www.scfreiburg.com/,
43,VfL Wolfsburg,Wolfsburg,VfL Wolfsburg,vfl-wolfsburg,Germany,,1945,https://cdn.footystats.org/img/teams/germany-vfl-wolfsburg.png,,2009/2010,,https://footystats.org/clubs/germany/vfl-wolfsburg,,,8,8,103,Domestic League,4140,VfL Wolfsburg,[],https://www.vfl-wolfsburg.de/en/info.html,
44,Eintracht Frankfurt,Eintracht Frankfurt,Eintracht Frankfurt,eintracht-frankfurt,Germany,,1899,https://cdn.footystats.org/img/teams/germany-eintracht-frankfurt.png,,2009/2010,,https://footystats.org/clubs/germany/eintracht-frankfurt,,,10,10,88,Domestic League,4140,Eintracht Frankfurt,[],https://www.eintracht.de/,
47,Hertha BSC,Hertha BSC,Hertha BSC,hertha-bsc,Germany,,1892,https://cdn.footystats.org/img/teams/germany-hertha-bsc.png,,2009/2010,,https://footystats.org/clubs/germany/hertha-bsc,,,18,18,71,Domestic League,4140,Hertha BSC,[],https://www.herthabsc.de/en/,
49,TSG 1899 Hoffenheim,Hoffenheim,TSG 1899 Hoffenheim,tsg-1899-hoffenheim,Germany,,1899,https://cdn.footystats.org/img/teams/germany-tsg-1899-hoffenheim.png,,2009/2010,,https://footystats.org/clubs/germany/tsg-1899-hoffenheim,,,11,11,74,Domestic League,4140,TSG 1899 Hoffenheim,[],https://www.achtzehn99.de/,
51,VfB Stuttgart 1893,Stuttgart,VfB Stuttgart 1893,vfb-stuttgart-1893,Germany,,1893,https://cdn.footystats.org/img/teams/germany-vfb-stuttgart-1893.png,,2009/2010,,https://footystats.org/clubs/germany/vfb-stuttgart-1893,,,6,6,85,Domestic League,4140,VfB Stuttgart 1893,[],https://www.vfb.de/en/,
52,Hannoverscher Sportverein 1896,Hannover 96,Hannoverscher Sportverein 1896,hannoverscher-sportverein-1896,Germany,,1896,https://cdn.footystats.org/img/teams/germany-hannoverscher-sportverein-1896.png,,2009/2010,,https://footystats.org/clubs/germany/hannoverscher-sportverein-1896,,,15,15,97,Domestic League,4140,Hannoverscher Sportverein 1896,[],https://www.hannover96.de/startseite.html,
127,1. FC Nürnberg,Nürnberg,1 FC Nurnberg,1-fc-nurnberg,Germany,,1900,https://cdn.footystats.org/img/teams/germany-1-fc-nurnberg.png,,2009/2010,,https://footystats.org/clubs/germany/1-fc-nurnberg,,,16,16,62,Domestic League,4140,1. FC Nürnberg,[],https://www.fcn.de/home/,
540,VfL Bochum 1848,Bochum,VfL Bochum 1848,vfl-bochum-1848,Germany,,1848,https://cdn.footystats.org/img/teams/germany-vfl-bochum-1848.png,,2009/2010,,https://footystats.org/clubs/germany/vfl-bochum-1848,,,17,17,85,Domestic League,4140,VfL Bochum 1848,[],,http://www.vfl-bochum.de
