id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.,official_sites.verein@fc-union-berlin.de,official_sites.service@fortuna-duesseldorf.de
33,BVB 09 Borussia Dortmund,Borussia Dortmund,BVB 09 Borussia Dortmund,bvb-09-borussia-dortmund,Germany,,1909,https://cdn.footystats.org/img/teams/germany-bvb-09-borussia-dortmund.png,,2019/2020,,https://footystats.org/clubs/germany/bvb-09-borussia-dortmund,,,2,2,129,Domestic League,4392,BVB 09 Borussia Dortmund,[],https://www.bvb.de/eng,,
34,1. FSV Mainz 05,Mainz 05,1 FSV Mainz 05,1-fsv-mainz-05,Germany,,1905,https://cdn.footystats.org/img/teams/germany-1-fsv-mainz-05.png,,2019/2020,,https://footystats.org/clubs/germany/1-fsv-mainz-05,,,13,13,112,Domestic League,4392,1. FSV Mainz 05,[],https://www.mainz05.de,,
35,FC Schalke 04,Schalke 04,FC Schalke 04,fc-schalke-04,Germany,,1904,https://cdn.footystats.org/img/teams/germany-fc-schalke-04.png,,2019/2020,,https://footystats.org/clubs/germany/fc-schalke-04,,,12,12,71,Domestic League,4392,FC Schalke 04,[],https://schalke04.de/en/,,
37,SV Werder Bremen,Werder Bremen,SV Werder Bremen,sv-werder-bremen,Germany,,1899,https://cdn.footystats.org/img/teams/germany-sv-werder-bremen.png,,2019/2020,,https://footystats.org/clubs/germany/sv-werder-bremen,,,16,16,112,Domestic League,4392,SV Werder Bremen,[],https://www.werder.de/en,,
38,FC Bayern München,Bayern München,FC Bayern Munchen,fc-bayern-munchen,Germany,,1900,https://cdn.footystats.org/img/teams/germany-fc-bayern-munchen.png,,2019/2020,,https://footystats.org/clubs/germany/fc-bayern-munchen,,,1,1,126,Domestic League,4392,FC Bayern München,[],https://fcbayern.com/en,,
39,Borussia VfL Mönchengladbach,Borussia M'gladbach,Borussia VfL Monchengladbach,borussia-vfl-monchengladbach,Germany,,1900,https://cdn.footystats.org/img/teams/germany-borussia-vfl-monchengladbach.png,,2019/2020,,https://footystats.org/clubs/germany/borussia-vfl-monchengladbach,,,4,4,79,Domestic League,4392,Borussia VfL Mönchengladbach,[],https://www.borussia.de/english/home.html,,
40,Bayer 04 Leverkusen,Bayer Leverkusen,Bayer 04 Leverkusen,bayer-04-leverkusen,Germany,,1904,https://cdn.footystats.org/img/teams/germany-bayer-04-leverkusen.png,,2019/2020,,https://footystats.org/clubs/germany/bayer-04-leverkusen,,,5,5,97,Domestic League,4392,Bayer 04 Leverkusen,[],https://www.bayer04.de/en-us,,
41,1. FC Köln,Köln,1 FC Koln,1-fc-koln,Germany,,1948,https://cdn.footystats.org/img/teams/germany-1-fc-koln.png,,2019/2020,,https://footystats.org/clubs/germany/1-fc-koln,,,14,14,88,Domestic League,4392,1. FC Köln,[],https://fc.de/en/fc-info/home/,,
42,SC Freiburg,Freiburg,SC Freiburg,sc-freiburg,Germany,,1904,https://cdn.footystats.org/img/teams/germany-sc-freiburg.png,,2019/2020,,https://footystats.org/clubs/germany/sc-freiburg,,,8,8,68,Domestic League,4392,SC Freiburg,[],https://www.scfreiburg.com/,,
43,VfL Wolfsburg,Wolfsburg,VfL Wolfsburg,vfl-wolfsburg,Germany,,1945,https://cdn.footystats.org/img/teams/germany-vfl-wolfsburg.png,,2019/2020,,https://footystats.org/clubs/germany/vfl-wolfsburg,,,7,7,71,Domestic League,4392,VfL Wolfsburg,[],https://www.vfl-wolfsburg.de/en/info.html,,
