id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.,official_sites.info@vfl-bochum.de,official_sites.info@arminia-bielefeld.de,official_sites.online@ksc.de,official_sites.info@fcenergie.de
33,BVB 09 Borussia Dortmund,Borussia Dortmund,BVB 09 Borussia Dortmund,bvb-09-borussia-dortmund,Germany,,1909,https://cdn.footystats.org/img/teams/germany-bvb-09-borussia-dortmund.png,,2008/2009,,https://footystats.org/clubs/germany/bvb-09-borussia-dortmund,,,6,6,76,Domestic League,4624,BVB 09 Borussia Dortmund,[],https://www.bvb.de/eng,,,,
35,FC Schalke 04,Schalke 04,FC Schalke 04,fc-schalke-04,Germany,,1904,https://cdn.footystats.org/img/teams/germany-fc-schalke-04.png,,2008/2009,,https://footystats.org/clubs/germany/fc-schalke-04,,,8,8,59,Domestic League,4624,FC Schalke 04,[],https://schalke04.de/en/,,,,
36,Hamburger SV,Hamburger SV,Hamburger SV,hamburger-sv,Germany,,1887,https://cdn.footystats.org/img/teams/germany-hamburger-sv.png,,2008/2009,,https://footystats.org/clubs/germany/hamburger-sv,,,5,5,68,Domestic League,4624,Hamburger SV,[],https://www.hsv.de/en/overview/,,,,
37,SV Werder Bremen,Werder Bremen,SV Werder Bremen,sv-werder-bremen,Germany,,1899,https://cdn.footystats.org/img/teams/germany-sv-werder-bremen.png,,2008/2009,,https://footystats.org/clubs/germany/sv-werder-bremen,,,10,10,118,Domestic League,4624,SV Werder Bremen,[],https://www.werder.de/en,,,,
38,FC Bayern München,Bayern München,FC Bayern Munchen,fc-bayern-munchen,Germany,,1900,https://cdn.footystats.org/img/teams/germany-fc-bayern-munchen.png,,2008/2009,,https://footystats.org/clubs/germany/fc-bayern-munchen,,,2,2,124,Domestic League,4624,FC Bayern München,[],https://fcbayern.com/en,,,,
39,Borussia VfL Mönchengladbach,Borussia M'gladbach,Borussia VfL Monchengladbach,borussia-vfl-monchengladbach,Germany,,1900,https://cdn.footystats.org/img/teams/germany-borussia-vfl-monchengladbach.png,,2008/2009,,https://footystats.org/clubs/germany/borussia-vfl-monchengladbach,,,15,15,79,Domestic League,4624,Borussia VfL Mönchengladbach,[],https://www.borussia.de/english/home.html,,,,
40,Bayer 04 Leverkusen,Bayer Leverkusen,Bayer 04 Leverkusen,bayer-04-leverkusen,Germany,,1904,https://cdn.footystats.org/img/teams/germany-bayer-04-leverkusen.png,,2008/2009,,https://footystats.org/clubs/germany/bayer-04-leverkusen,,,9,9,74,Domestic League,4624,Bayer 04 Leverkusen,[],https://www.bayer04.de/en-us,,,,
41,1. FC Köln,Köln,1 FC Koln,1-fc-koln,Germany,,1948,https://cdn.footystats.org/img/teams/germany-1-fc-koln.png,,2008/2009,,https://footystats.org/clubs/germany/1-fc-koln,,,12,12,59,Domestic League,4624,1. FC Köln,[],https://fc.de/en/fc-info/home/,,,,
43,VfL Wolfsburg,Wolfsburg,VfL Wolfsburg,vfl-wolfsburg,Germany,,1945,https://cdn.footystats.org/img/teams/germany-vfl-wolfsburg.png,,2008/2009,,https://footystats.org/clubs/germany/vfl-wolfsburg,,,1,1,103,Domestic League,4624,VfL Wolfsburg,[],https://www.vfl-wolfsburg.de/en/info.html,,,,
44,Eintracht Frankfurt,Eintracht Frankfurt,Eintracht Frankfurt,eintracht-frankfurt,Germany,,1899,https://cdn.footystats.org/img/teams/germany-eintracht-frankfurt.png,,2008/2009,,https://footystats.org/clubs/germany/eintracht-frankfurt,,,13,13,85,Domestic League,4624,Eintracht Frankfurt,[],https://www.eintracht.de/,,,,
