id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.,official_sites.info@vfl-bochum.de,official_sites.info@arminia-bielefeld.de,official_sites.online@ksc.de,official_sites.info@msv-duisburg.de,official_sites.fc-hansa-rostock@fc-hansa-rostock.de,official_sites.info@fcenergie.de
33,BVB 09 Borussia Dortmund,Borussia Dortmund,BVB 09 Borussia Dortmund,bvb-09-borussia-dortmund,Germany,,1909,https://cdn.footystats.org/img/teams/germany-bvb-09-borussia-dortmund.png,,2007/2008,,https://footystats.org/clubs/germany/bvb-09-borussia-dortmund,,,13,13,103,Domestic League,4628,BVB 09 Borussia Dortmund,[],https://www.bvb.de/eng,,,,,,
35,FC Schalke 04,Schalke 04,FC Schalke 04,fc-schalke-04,Germany,,1904,https://cdn.footystats.org/img/teams/germany-fc-schalke-04.png,,2007/2008,,https://footystats.org/clubs/germany/fc-schalke-04,,,3,3,47,Domestic League,4628,FC Schalke 04,[],https://schalke04.de/en/,,,,,,
36,Hamburger SV,Hamburger SV,Hamburger SV,hamburger-sv,Germany,,1887,https://cdn.footystats.org/img/teams/germany-hamburger-sv.png,,2007/2008,,https://footystats.org/clubs/germany/hamburger-sv,,,4,4,56,Domestic League,4628,Hamburger SV,[],https://www.hsv.de/en/overview/,,,,,,
37,SV Werder Bremen,Werder Bremen,SV Werder Bremen,sv-werder-bremen,Germany,,1899,https://cdn.footystats.org/img/teams/germany-sv-werder-bremen.png,,2007/2008,,https://footystats.org/clubs/germany/sv-werder-bremen,,,2,2,126,Domestic League,4628,SV Werder Bremen,[],https://www.werder.de/en,,,,,,
38,FC Bayern München,Bayern München,FC Bayern Munchen,fc-bayern-munchen,Germany,,1900,https://cdn.footystats.org/img/teams/germany-fc-bayern-munchen.png,,2007/2008,,https://footystats.org/clubs/germany/fc-bayern-munchen,,,1,1,65,Domestic League,4628,FC Bayern München,[],https://fcbayern.com/en,,,,,,
40,Bayer 04 Leverkusen,Bayer Leverkusen,Bayer 04 Leverkusen,bayer-04-leverkusen,Germany,,1904,https://cdn.footystats.org/img/teams/germany-bayer-04-leverkusen.png,,2007/2008,,https://footystats.org/clubs/germany/bayer-04-leverkusen,,,7,7,79,Domestic League,4628,Bayer 04 Leverkusen,[],https://www.bayer04.de/en-us,,,,,,
43,VfL Wolfsburg,Wolfsburg,VfL Wolfsburg,vfl-wolfsburg,Germany,,1945,https://cdn.footystats.org/img/teams/germany-vfl-wolfsburg.png,,2007/2008,,https://footystats.org/clubs/germany/vfl-wolfsburg,,,5,5,85,Domestic League,4628,VfL Wolfsburg,[],https://www.vfl-wolfsburg.de/en/info.html,,,,,,
44,Eintracht Frankfurt,Eintracht Frankfurt,Eintracht Frankfurt,eintracht-frankfurt,Germany,,1899,https://cdn.footystats.org/img/teams/germany-eintracht-frankfurt.png,,2007/2008,,https://footystats.org/clubs/germany/eintracht-frankfurt,,,9,9,76,Domestic League,4628,Eintracht Frankfurt,[],https://www.eintracht.de/,,,,,,
47,Hertha BSC,Hertha BSC,Hertha BSC,hertha-bsc,Germany,,1892,https://cdn.footystats.org/img/teams/germany-hertha-bsc.png,,2007/2008,,https://footystats.org/clubs/germany/hertha-bsc,,,10,10,71,Domestic League,4628,Hertha BSC,[],https://www.herthabsc.de/en/,,,,,,
51,VfB Stuttgart 1893,Stuttgart,VfB Stuttgart 1893,vfb-stuttgart-1893,Germany,,1893,https://cdn.footystats.org/img/teams/germany-vfb-stuttgart-1893.png,,2007/2008,,https://footystats.org/clubs/germany/vfb-stuttgart-1893,,,6,6,91,Domestic League,4628,VfB Stuttgart 1893,[],https://www.vfb.de/en/,,,,,,
52,Hannoverscher Sportverein 1896,Hannover 96,Hannoverscher Sportverein 1896,hannoverscher-sportverein-1896,Germany,,1896,https://cdn.footystats.org/img/teams/germany-hannoverscher-sportverein-1896.png,,2007/2008,,https://footystats.org/clubs/germany/hannoverscher-sportverein-1896,,,8,8,109,Domestic League,4628,Hannoverscher Sportverein 1896,[],https://www.hannover96.de/startseite.html,,,,,,
127,1. FC Nürnberg,Nürnberg,1 FC Nurnberg,1-fc-nurnberg,Germany,,1900,https://cdn.footystats.org/img/teams/germany-1-fc-nurnberg.png,,2007/2008,,https://footystats.org/clubs/germany/1-fc-nurnberg,,,16,16,65,Domestic League,4628,1. FC Nürnberg,[],https://www.fcn.de/home/,,,,,,
540,VfL Bochum 1848,Bochum,VfL Bochum 1848,vfl-bochum-1848,Germany,,1848,https://cdn.footystats.org/img/teams/germany-vfl-bochum-1848.png,,2007/2008,,https://footystats.org/clubs/germany/vfl-bochum-1848,,,12,12,88,Domestic League,4628,VfL Bochum 1848,[],,http://www.vfl-bochum.de,,,,,
543,DSC Arminia Bielefeld,Arminia Bielefeld,DSC Arminia Bielefeld,dsc-arminia-bielefeld,Germany,,1905,https://cdn.footystats.org/img/teams/germany-dsc-arminia-bielefeld.png,,2007/2008,,https://footystats.org/clubs/germany/dsc-arminia-bielefeld,,,15,15,85,Domestic League,4628,DSC Arminia Bielefeld,[],,,http://www.arminia-bielefeld.de,,,,
547,Karlsruher SC,Karlsruher SC,Karlsruher SC,karlsruher-sc,Germany,,1898,https://cdn.footystats.org/img/teams/germany-karlsruher-sc.png,,2007/2008,,https://footystats.org/clubs/germany/karlsruher-sc,,,11,11,76,Domestic League,4628,Karlsruher SC,[],,,,http://www.ksc.de,,,
553,MSV Duisburg,MSV Duisburg,MSV Duisburg,msv-duisburg,Germany,,1902,https://cdn.footystats.org/img/teams/germany-msv-duisburg.png,,2007/2008,,https://footystats.org/clubs/germany/msv-duisburg,,,18,18,82,Domestic League,4628,MSV Duisburg,[],,,,,http://www.msv-duisburg.de,,
567,FC Hansa Rostock,Hansa Rostock,FC Hansa Rostock,fc-hansa-rostock,Germany,,1965,https://cdn.footystats.org/img/teams/germany-fc-hansa-rostock.png,,2007/2008,,https://footystats.org/clubs/germany/fc-hansa-rostock,,,17,17,65,Domestic League,4628,FC Hansa Rostock,[],,,,,,http://www.fc-hansa.de,
572,FC Energie Cottbus,Energie Cottbus,FC Energie Cottbus,fc-energie-cottbus,Germany,,1966,https://cdn.footystats.org/img/teams/germany-fc-energie-cottbus.png,,2007/2008,,https://footystats.org/clubs/germany/fc-energie-cottbus,,,14,14,71,Domestic League,4628,FC Energie Cottbus,[],,,,,,,http://www.fcenergie.de
