id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.,official_sites.verein@fc-union-berlin.de,official_sites.info@arminia-bielefeld.de
33,BVB 09 Borussia Dortmund,Borussia Dortmund,BVB 09 Borussia Dortmund,bvb-09-borussia-dortmund,Germany,,1909,https://cdn.footystats.org/img/teams/germany-bvb-09-borussia-dortmund.png,,2020/2021,,https://footystats.org/clubs/germany/bvb-09-borussia-dortmund,,,3,3,29,Domestic League,4673,BVB 09 Borussia Dortmund,[],https://www.bvb.de/eng,,
34,1. FSV Mainz 05,Mainz 05,1 FSV Mainz 05,1-fsv-mainz-05,Germany,,1905,https://cdn.footystats.org/img/teams/germany-1-fsv-mainz-05.png,,2020/2021,,https://footystats.org/clubs/germany/1-fsv-mainz-05,,,18,18,100,Domestic League,4673,1. FSV Mainz 05,[],https://www.mainz05.de,,
35,FC Schalke 04,Schalke 04,FC Schalke 04,fc-schalke-04,Germany,,1904,https://cdn.footystats.org/img/teams/germany-fc-schalke-04.png,,2020/2021,,https://footystats.org/clubs/germany/fc-schalke-04,,,17,17,100,Domestic League,4673,FC Schalke 04,[],https://schalke04.de/en/,,
37,SV Werder Bremen,Werder Bremen,SV Werder Bremen,sv-werder-bremen,Germany,,1899,https://cdn.footystats.org/img/teams/germany-sv-werder-bremen.png,,2020/2021,,https://footystats.org/clubs/germany/sv-werder-bremen,,,9,9,71,Domestic League,4673,SV Werder Bremen,[],https://www.werder.de/en,,
38,FC Bayern München,Bayern München,FC Bayern Munchen,fc-bayern-munchen,Germany,,1900,https://cdn.footystats.org/img/teams/germany-fc-bayern-munchen.png,,2020/2021,,https://footystats.org/clubs/germany/fc-bayern-munchen,,,1,1,114,Domestic League,4673,FC Bayern München,[],https://fcbayern.com/en,,
39,Borussia VfL Mönchengladbach,Borussia M'gladbach,Borussia VfL Monchengladbach,borussia-vfl-monchengladbach,Germany,,1900,https://cdn.footystats.org/img/teams/germany-borussia-vfl-monchengladbach.png,,2020/2021,,https://footystats.org/clubs/germany/borussia-vfl-monchengladbach,,,7,7,86,Domestic League,4673,Borussia VfL Mönchengladbach,[],https://www.borussia.de/english/home.html,,
40,Bayer 04 Leverkusen,Bayer Leverkusen,Bayer 04 Leverkusen,bayer-04-leverkusen,Germany,,1904,https://cdn.footystats.org/img/teams/germany-bayer-04-leverkusen.png,,2020/2021,,https://footystats.org/clubs/germany/bayer-04-leverkusen,,,4,4,57,Domestic League,4673,Bayer 04 Leverkusen,[],https://www.bayer04.de/en-us,,
41,1. FC Köln,Köln,1 FC Koln,1-fc-koln,Germany,,1948,https://cdn.footystats.org/img/teams/germany-1-fc-koln.png,,2020/2021,,https://footystats.org/clubs/germany/1-fc-koln,,,16,16,86,Domestic League,4673,1. FC Köln,[],https://fc.de/en/fc-info/home/,,
42,SC Freiburg,Freiburg,SC Freiburg,sc-freiburg,Germany,,1904,https://cdn.footystats.org/img/teams/germany-sc-freiburg.png,,2020/2021,,https://footystats.org/clubs/germany/sc-freiburg,,,14,14,71,Domestic League,4673,SC Freiburg,[],https://www.scfreiburg.com/,,
43,VfL Wolfsburg,Wolfsburg,VfL Wolfsburg,vfl-wolfsburg,Germany,,1945,https://cdn.footystats.org/img/teams/germany-vfl-wolfsburg.png,,2020/2021,,https://footystats.org/clubs/germany/vfl-wolfsburg,,,6,6,29,Domestic League,4673,VfL Wolfsburg,[],https://www.vfl-wolfsburg.de/en/info.html,,
44,Eintracht Frankfurt,Eintracht Frankfurt,Eintracht Frankfurt,eintracht-frankfurt,Germany,,1899,https://cdn.footystats.org/img/teams/germany-eintracht-frankfurt.png,,2020/2021,,https://footystats.org/clubs/germany/eintracht-frankfurt,,,11,11,86,Domestic League,4673,Eintracht Frankfurt,[],https://www.eintracht.de/,,
46,Rasen Ballsport Leipzig,RB Leipzig,Rasen Ballsport Leipzig,rasen-ballsport-leipzig,Germany,,2009,https://cdn.footystats.org/img/teams/germany-rasen-ballsport-leipzig.png,,2020/2021,,https://footystats.org/clubs/germany/rasen-ballsport-leipzig,,,2,2,86,Domestic League,4673,Rasen Ballsport Leipzig,[],https://www.dierotenbullen.com/,,
47,Hertha BSC,Hertha BSC,Hertha BSC,hertha-bsc,Germany,,1892,https://cdn.footystats.org/img/teams/germany-hertha-bsc.png,,2020/2021,,https://footystats.org/clubs/germany/hertha-bsc,,,12,12,100,Domestic League,4673,Hertha BSC,[],https://www.herthabsc.de/en/,,
49,TSG 1899 Hoffenheim,Hoffenheim,TSG 1899 Hoffenheim,tsg-1899-hoffenheim,Germany,,1899,https://cdn.footystats.org/img/teams/germany-tsg-1899-hoffenheim.png,,2020/2021,,https://footystats.org/clubs/germany/tsg-1899-hoffenheim,,,13,13,71,Domestic League,4673,TSG 1899 Hoffenheim,[],https://www.achtzehn99.de/,,
50,FC Augsburg,Augsburg,FC Augsburg,fc-augsburg,Germany,,1907,https://cdn.footystats.org/img/teams/germany-fc-augsburg.png,,2020/2021,,https://footystats.org/clubs/germany/fc-augsburg,,,10,10,57,Domestic League,4673,FC Augsburg,[],https://fcaugsburg.de/wns/?lang=en,,
