id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,url,club_team_id,club_team_2_id,national_team_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp
12024,3631,Juan Pablo Colinas Ferreras,Juan Pablo,Colinas Ferreras,Juan Pablo Colinas Ferreras,juan-pablo-colinas-ferreras,42,187,83,La Liga,Domestic League,2011/2012,2011,2012,https://footystats.org/players/spain/juan-pablo-colinas-ferreras,289,-1,-1,Goalkeeper,3330,1710,1620,273567600,Spain,eu,37,19,18,0,0,0,3,1,4,55,24,31,0,0,0,0,0,-1,0.0,0.0,0.0,11,0.0,0.0,0,1,61,3,3,0,90,1110,0,0.08,311,320,145,15,1336932000
10573,3631,Roberto Canella Suárez,Roberto,Canella Suárez,Roberto Canella Suárez,roberto-canella-suarez,32,180,73,La Liga,Domestic League,2011/2012,2011,2012,https://footystats.org/players/spain/roberto-canella-suarez,289,-1,-1,Defender,2620,1375,1245,571219200,Spain,eu,31,15,15,0,0,0,3,0,3,42,18,24,0,0,0,0,0,-1,0.0,0.0,0.0,10,0.0,0.0,0,1,62,7,7,1,85,374,0,0.24,433,432,137,25,1334426400
12165,3631,Iván Hernández Soto,Iván,Hernández Soto,Iván Hernández Soto,ivan-hernandez-soto,40,185,80,La Liga,Domestic League,2011/2012,2011,2012,https://footystats.org/players/spain/ivan-hernandez-soto,289,-1,-1,Defender,1694,838,856,320486400,Spain,eu,20,9,10,0,0,0,2,0,2,26,11,15,0,0,0,0,0,-1,0.0,0.0,0.0,10,0.0,0.0,0,1,65,4,4,0,85,424,0,0.21,345,351,119,29,1334426400
10712,3631,Alberto Lora Ramos,Alberto,Lora Ramos,Alberto Lora Ramos,alberto-lora-ramos,33,168,67,La Liga,Domestic League,2011/2012,2011,2012,https://footystats.org/players/spain/alberto-lora-ramos,289,-1,-1,Defender,2240,1128,1112,543657600,Spain,eu,27,12,13,3,2,1,3,1,4,41,16,25,1,0,1,0,0,-1,0.16,0.04,0.12,15,0.16,0.08,747,1,55,9,9,2,83,249,2240,0.36,144,242,165,6,1336932000
2795,3631,Alberto Botía Rabasco,Alberto,Botía Rabasco,Alberto Botía Rabasco,alberto-botia-rabasco,31,187,80,La Liga,Domestic League,2011/2012,2011,2012,https://footystats.org/players/spain/alberto-botia-rabasco,289,-1,-1,Defender,2963,1270,1693,601891200,Spain,eu,34,15,18,1,1,0,3,1,4,51,18,33,2,2,0,0,0,-1,0.09,0.06,0.03,12,0.07,0.0,2963,1,58,16,16,0,87,185,1482,0.49,245,227,155,12,1336932000
26343,3631,Sebastián Eguren Ledesma,Sebastián,Eguren Ledesma,Sebastián Eguren Ledesma,sebastian-eguren-ledesma,39,186,84,La Liga,Domestic League,2011/2012,2011,2012,https://footystats.org/players/uruguay/sebastian-eguren-ledesma,289,-1,-1,Midfielder,1021,539,482,347788800,Uruguay,eu,19,6,6,2,2,0,1,0,1,20,9,11,1,1,0,0,0,-1,0.26,0.09,0.18,5,0.33,0.0,511,1,51,8,8,1,54,128,1021,0.71,96,173,-1,10,1333209600
6389,3631,André de Castro Pereira,André,de Castro Pereira,André de Castro Pereira,andre-de-castro-pereira,32,181,76,La Liga,Domestic League,2011/2012,2011,2012,https://footystats.org/players/portugal/andre-de-castro-pereira,289,-1,-1,Midfielder,2143,1178,965,575971200,Portugal,eu,29,14,12,2,2,0,3,0,3,37,14,23,1,1,0,0,0,-1,0.13,0.04,0.08,10,0.15,0.0,1072,1,58,7,7,0,74,306,2143,0.29,177,245,-1,11,1333209600
10451,3631,Miguel Ángel De las Cuevas Barberá,Miguel Ángel,De las Cuevas Barberá,Miguel Ángel De las Cuevas Barberá,miguel-angel-de-las-cuevas-barbera,34,175,69,La Liga,Domestic League,2011/2012,2011,2012,https://footystats.org/players/spain/miguel-angel-de-las-cuevas-barbera,289,-1,-1,Midfielder,2910,1380,1530,519548400,Spain,eu,35,16,18,3,1,2,2,1,3,47,19,28,5,3,2,2,0,100,0.25,0.15,0.09,9,0.07,0.12,970,1,62,4,4,0,83,728,582,0.12,168,104,-1,7,1336932000
10552,3631,Sergio Álvarez Díaz,Sergio,Álvarez Díaz,Sergio Álvarez Díaz,sergio-alvarez-diaz,28,182,72,La Liga,Domestic League,2011/2012,2011,2012,https://footystats.org/players/spain/sergio-alvarez-diaz,289,-1,-1,Midfielder,322,148,174,696153600,Spain,eu,6,2,2,0,0,0,0,0,0,5,2,3,0,0,0,0,0,-1,0.0,0.0,0.0,0,0.0,0.0,0,1,64,1,1,0,54,322,0,0.28,346,352,-1,28,1316628000
9878,3631,Ignacio Javier Gómez Novo,Ignacio Javier,Gómez Novo,Ignacio Javier Gómez Novo,ignacio-javier-gomez-novo,41,170,70,La Liga,Domestic League,2011/2012,2011,2012,https://footystats.org/players/spain/ignacio-javier-gomez-novo,289,-1,-1,Forward,535,323,212,291283200,Spain,eu,11,5,3,3,1,2,1,0,1,8,4,4,0,0,0,0,0,-1,0.5,0.0,0.5,9,0.28,0.85,178,1,67,2,2,0,49,268,0,0.34,18,353,-1,8,1327348800
10522,3631,David Barral Torres,David,Barral Torres,David Barral Torres,david-barral-torres,37,180,78,La Liga,Domestic League,2011/2012,2011,2012,https://footystats.org/players/spain/david-barral-torres,289,-1,-1,Forward,2223,1328,895,421398000,Spain,eu,30,16,10,9,2,7,3,0,3,36,17,19,2,2,0,0,0,-1,0.45,0.08,0.36,10,0.14,0.7,247,1,62,9,9,0,74,247,1112,0.36,43,199,-1,1,1334167200
