id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.
76,Villarreal CF,Villarreal,Villarreal CF,villarreal-cf,Spain,,1923,https://cdn.footystats.org/img/teams/spain-villarreal-cf.png,,2008/2009,,https://footystats.org/clubs/spain/villarreal-cf,,,5,5,95,Domestic League,3637,Villarreal CF,[],http://www.villarrealcf.es/en/
83,FC Barcelona,FC Barcelona,FC Barcelona,fc-barcelona,Spain,,1899,https://cdn.footystats.org/img/teams/spain-fc-barcelona.png,,2008/2009,,https://footystats.org/clubs/spain/fc-barcelona,,,1,1,129,Domestic League,3637,FC Barcelona,[],https://www.fcbarcelona.com/en/
84,Real Madrid CF,Real Madrid,Real Madrid CF,real-madrid-cf,Spain,,1902,https://cdn.footystats.org/img/teams/spain-real-madrid-cf.png,,2008/2009,,https://footystats.org/clubs/spain/real-madrid-cf,,,2,2,111,Domestic League,3637,Real Madrid CF,[],https://www.realmadrid.com/en
98,Sevilla FC,Sevilla FC,Sevilla FC,sevilla-fc,Spain,,1890,https://cdn.footystats.org/img/teams/spain-sevilla-fc.png,,2008/2009,,https://footystats.org/clubs/spain/sevilla-fc,,,3,3,50,Domestic League,3637,Sevilla FC,[],https://www.sevillafc.es/en
117,Club Atlético de Madrid,Atlético Madrid,Club Atletico de Madrid,club-atletico-de-madrid,Spain,,1903,https://cdn.footystats.org/img/teams/spain-club-atletico-de-madrid.png,,2008/2009,,https://footystats.org/clubs/spain/club-atletico-de-madrid,,,4,4,111,Domestic League,3637,Club Atlético de Madrid,[],http://en.atleticodemadrid.com/
280,Reial Club Deportiu Espanyol,RCD Espanyol,Reial Club Deportiu Espanyol,reial-club-deportiu-espanyol,Spain,,1900,https://cdn.footystats.org/img/teams/spain-reial-club-deportiu-espanyol.png,,2008/2009,,https://footystats.org/clubs/spain/reial-club-deportiu-espanyol,,,10,10,58,Domestic League,3637,Reial Club Deportiu Espanyol,[],https://www.rcdespanyol.com/
283,Málaga CF,Málaga CF,Malaga CF,malaga-cf,Spain,,1948,https://cdn.footystats.org/img/teams/spain-malaga-cf.png,,2008/2009,,https://footystats.org/clubs/spain/malaga-cf,,,8,8,87,Domestic League,3637,Málaga CF,[],https://www.malagacf.com/en
284,Real Betis Balompié,Real Betis,Real Betis Balompie,real-betis-balompie,Spain,,1907,https://cdn.footystats.org/img/teams/spain-real-betis-balompie.png,,2008/2009,,https://footystats.org/clubs/spain/real-betis-balompie,,,18,18,92,Domestic League,3637,Real Betis Balompié,[],https://en.realbetisbalompie.es/
285,Athletic Club Bilbao,Athletic Club Bilbao,Athletic Club Bilbao,athletic-club-bilbao,Spain,,1898,https://cdn.footystats.org/img/teams/spain-athletic-club-bilbao.png,,2008/2009,,https://footystats.org/clubs/spain/athletic-club-bilbao,,,13,13,53,Domestic League,3637,Athletic Club Bilbao,[],https://www.athletic-club.eus/en/
286,Real Club Deportivo de La Coruña,Deportivo La Coruña,Real Club Deportivo de La Coruna,real-club-deportivo-de-la-coruna,Spain,,1906,https://cdn.footystats.org/img/teams/spain-real-club-deportivo-de-la-coruna.png,,2008/2009,,https://footystats.org/clubs/spain/real-club-deportivo-de-la-coruna,,,7,7,61,Domestic League,3637,Real Club Deportivo de La Coruña,[],https://www.rcdeportivo.es/en
287,CA Osasuna,CA Osasuna,CA Osasuna,ca-osasuna,Spain,,1920,https://cdn.footystats.org/img/teams/spain-ca-osasuna.png,,2008/2009,,https://footystats.org/clubs/spain/ca-osasuna,,,14,14,63,Domestic League,3637,CA Osasuna,[],https://www.osasuna.es/
288,Valencia CF,Valencia CF,Valencia CF,valencia-cf,Spain,,1919,https://cdn.footystats.org/img/teams/spain-valencia-cf.png,,2008/2009,,https://footystats.org/clubs/spain/valencia-cf,,,6,6,89,Domestic League,3637,Valencia CF,[],https://www.valenciacf.com/en
289,Real Sporting de Gijón,Sporting Gijón,Real Sporting de Gijon,real-sporting-de-gijon,Spain,,1905,https://cdn.footystats.org/img/teams/spain-real-sporting-de-gijon.png,,2008/2009,,https://footystats.org/clubs/spain/real-sporting-de-gijon,,,16,16,103,Domestic League,3637,Real Sporting de Gijón,[],https://www.realsporting.com/
293,Getafe Club de Fútbol,Getafe CF,Getafe Club de Futbol,getafe-club-de-futbol,Spain,,1983,https://cdn.footystats.org/img/teams/spain-getafe-club-de-futbol.png,,2008/2009,,https://footystats.org/clubs/spain/getafe-club-de-futbol,,,17,17,95,Domestic League,3637,Getafe Club de Fútbol,[],https://www.getafecf.com/
296,UD Almería,Almería,UD Almeria,ud-almeria,Spain,,1989,https://cdn.footystats.org/img/teams/spain-ud-almeria.png,,2008/2009,,https://footystats.org/clubs/spain/ud-almeria,,,12,12,63,Domestic League,3637,UD Almería,[],http://www.udalmeriasad.com/
297,Real Valladolid Club de Fútbol,Real Valladolid,Real Valladolid Club de Futbol,real-valladolid-club-de-futbol,Spain,,1928,https://cdn.footystats.org/img/teams/spain-real-valladolid-club-de-futbol.png,,2008/2009,,https://footystats.org/clubs/spain/real-valladolid-club-de-futbol,,,15,15,76,Domestic League,3637,Real Valladolid Club de Fútbol,[],https://www.realvalladolid.es/
298,Real Club Deportivo Mallorca,RCD Mallorca,Real Club Deportivo Mallorca,real-club-deportivo-mallorca,Spain,,1916,https://cdn.footystats.org/img/teams/spain-real-club-deportivo-mallorca.png,,2008/2009,,https://footystats.org/clubs/spain/real-club-deportivo-mallorca,,,9,9,68,Domestic League,3637,Real Club Deportivo Mallorca,[],http://www.rcdmallorca.es/
306,CD Numancia de Soria,CD Numancia,CD Numancia de Soria,cd-numancia-de-soria,Spain,,1945,https://cdn.footystats.org/img/teams/spain-cd-numancia-de-soria.png,,2008/2009,,https://footystats.org/clubs/spain/cd-numancia-de-soria,,,19,19,79,Domestic League,3637,CD Numancia de Soria,[],https://www.cdnumancia.com/
318,Real Club Recreativo de Huelva,Recreativo de Huelva,Real Club Recreativo de Huelva,real-club-recreativo-de-huelva,Spain,,1889,https://cdn.footystats.org/img/teams/spain-real-club-recreativo-de-huelva.png,,2008/2009,,https://footystats.org/clubs/spain/real-club-recreativo-de-huelva,,,20,20,61,Domestic League,3637,Real Club Recreativo de Huelva,[],https://recreativohuelva.com/
