id,name,cleanName,english_name,shortHand,country,continent,founded,image,flag_element,season,seasonClean,url,stadium_name,stadium_address,table_position,performance_rank,risk,season_format,competition_id,full_name,alt_names,official_sites.,official_sites.info@mnunitedfc.com
1,Montreal Impact,Montreal Impact,Montreal Impact,montreal-impact,Canada,,2010,https://cdn.footystats.org/img/teams/canada-montreal-impact.png,,2018,,https://footystats.org/clubs/canada/montreal-impact,,,7,15,71,Domestic League,1076,Montreal Impact,[],https://www.impactmontreal.com/en,
2,New York City FC,New York City,New York City FC,new-york-city-fc,USA,,2013,https://cdn.footystats.org/img/teams/usa-new-york-city-fc.png,,2018,,https://footystats.org/clubs/usa/new-york-city-fc,,,3,6,81,Domestic League,1076,New York City FC,[],https://www.nycfc.com/,
4,New York Red Bulls,New York RB,New York Red Bulls,new-york-red-bulls,USA,,1995,https://cdn.footystats.org/img/teams/usa-new-york-red-bulls.png,,2018,,https://footystats.org/clubs/usa/new-york-red-bulls,,,1,2,66,Domestic League,1076,New York Red Bulls,[],https://www.newyorkredbulls.com,
5,Vancouver Whitecaps FC,Vancouver Whitecaps,Vancouver Whitecaps FC,vancouver-whitecaps-fc,Canada,,1986,https://cdn.footystats.org/img/teams/canada-vancouver-whitecaps-fc.png,,2018,,https://footystats.org/clubs/canada/vancouver-whitecaps-fc,,,8,14,103,Domestic League,1076,Vancouver Whitecaps FC,[],https://www.whitecapsfc.com/,
6,Houston Dynamo,Houston Dynamo,Houston Dynamo,houston-dynamo,USA,,2005,https://cdn.footystats.org/img/teams/usa-houston-dynamo.png,,2018,,https://footystats.org/clubs/usa/houston-dynamo,,,9,17,97,Domestic League,1076,Houston Dynamo,[],https://www.houstondynamo.com/,
7,Chicago Fire,Chicago Fire,Chicago Fire,chicago-fire,USA,,1997,https://cdn.footystats.org/img/teams/usa-chicago-fire.png,,2018,,https://footystats.org/clubs/usa/chicago-fire,,,10,20,97,Domestic League,1076,Chicago Fire,[],https://www.chicago-fire.com/,
8,Sporting Kansas City,Sporting KC,Sporting Kansas City,sporting-kansas-city,USA,,1995,https://cdn.footystats.org/img/teams/usa-sporting-kansas-city.png,,2018,,https://footystats.org/clubs/usa/sporting-kansas-city,,,1,3,89,Domestic League,1076,Sporting Kansas City,[],https://www.sportingkc.com/,
9,Columbus Crew,Columbus Crew,Columbus Crew,columbus-crew,USA,,1996,https://cdn.footystats.org/img/teams/usa-columbus-crew.png,,2018,,https://footystats.org/clubs/usa/columbus-crew,,,5,9,59,Domestic League,1076,Columbus Crew,[],https://www.columbuscrewsc.com/,
10,LA Galaxy,LA Galaxy,LA Galaxy,la-galaxy,USA,,1995,https://cdn.footystats.org/img/teams/usa-la-galaxy.png,,2018,,https://footystats.org/clubs/usa/la-galaxy,,,7,13,106,Domestic League,1076,LA Galaxy,['Los Angeles Galaxy'],https://www.lagalaxy.com/,
11,New England Revolution,New England Revolution,New England Revolution,new-england-revolution,USA,,1995,https://cdn.footystats.org/img/teams/usa-new-england-revolution.png,,2018,,https://footystats.org/clubs/usa/new-england-revolution,,,8,16,68,Domestic League,1076,New England Revolution,[],https://www.revolutionsoccer.net/,
