id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,url,club_team_id,club_team_2_id,national_team_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp
172787,4241,Kasey Keller,Kasey,Keller,Kasey Keller,kasey-keller,50,188,86,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/usa/kasey-keller,18,-1,-1,Goalkeeper,2836,1440,1396,-2822400,USA,na,32,16,16,0,0,0,5,6,11,35,16,19,0,0,0,0,0,-1,0.0,0,0.0,34,0.0,0.0,0,1,81,0,0,0,89,0,0,0.0,190,1,72,27,1289182800
5906,4241,Leonardo González Arce,Leonardo,González Arce,Leonardo González Arce,leonardo-gonzalez-arce,39,185,79,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/costa-rica/leonardo-gonzalez-arce,18,-1,-1,Defender,2528,1239,1289,343641600,Costa Rica,na,29,14,15,1,1,0,5,6,11,30,14,16,0,0,0,0,0,-1,0.04,0,0.04,38,0.07,0.0,2528,1,84,8,7,1,87,316,0,0.28,165,164,58,8,1289182800
291,4241,Brad Evans,Brad,Evans,Brad Evans,brad-evans,35,185,77,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/usa/brad-evans,18,-1,-1,Defender,965,516,449,482832000,USA,na,12,7,5,1,1,0,3,1,4,14,9,5,0,0,0,0,0,-1,0.09,0,0.09,33,0.17,0.0,965,1,69,1,1,0,80,965,0,0.09,127,221,102,13,1276221600
646587,4241,Tyrone Everton Marshall,Tyrone Everton,Marshall,Tyrone Everton Marshall,tyrone-everton-marshall,45,188,-1,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/jamaica/tyrone-everton-marshall,18,-1,-1,Defender,1531,694,837,153475200,Jamaica,na,22,9,13,0,0,0,3,4,7,22,9,13,0,0,0,0,0,-1,0.0,0,0.0,32,0.0,0.0,0,1,70,5,5,0,70,306,0,0.29,258,220,100,19,1289182800
7752,4241,Jhon Kennedy Hurtado Valencia,Jhon Kennedy,Hurtado Valencia,Jhon Kennedy Hurtado Valencia,jhon-kennedy-hurtado-valencia,36,183,83,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/colombia/jhon-kennedy-hurtado-valencia,18,-1,-1,Defender,810,540,270,453538800,Colombia,na,9,6,3,0,0,0,2,1,3,9,7,2,0,0,0,0,0,-1,0.0,0,0.0,33,0.0,0.0,0,1,90,1,1,0,90,810,0,0.11,259,219,43,21,1274563800
311,4241,Zach Scott,Zach,Scott,Zach Scott,zach-scott,40,180,79,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/usa/zach-scott,18,-1,-1,Defender,360,270,90,331369200,USA,na,4,3,1,0,0,0,2,1,3,1,1,0,0,0,0,0,0,-1,0.0,0,0.0,75,0.0,0.0,0,0,360,2,2,0,90,180,0,0.5,260,218,1,25,1284852600
141950,4241,Fredrik Ljungberg,Fredrik,Ljungberg,Fredrik Ljungberg,fredrik-ljungberg,43,176,75,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/sweden/fredrik-ljungberg,18,7,-1,Midfielder,2431,1257,1174,230025600,Sweden,na,30,15,15,2,0,2,7,2,9,36,14,22,0,0,0,0,0,-1,0.07,0,0.07,30,0.0,0.15,1216,1,68,7,7,0,81,347,0,0.26,138,217,-1,6,1287889200
293,4241,Osvaldo Alonso Moreno,Osvaldo,Alonso Moreno,Osvaldo Alonso Moreno,osvaldo-alonso-moreno,34,180,70,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/cuba/osvaldo-alonso-moreno,18,-1,-1,Midfielder,2054,1047,1007,500544000,Cuba,na,25,13,12,1,1,0,4,5,9,21,9,12,0,0,0,0,0,-1,0.04,0,0.04,36,0.09,0.0,2054,0,98,4,4,0,82,514,0,0.18,171,216,-1,12,1289182800
7737,4241,Steve Bulongo Zakuani,Steve Bulongo,Zakuani,Steve Bulongo Zakuani,steve-bulongo-zakuani,32,183,73,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/congo-dr/steve-bulongo-zakuani,18,-1,-1,Midfielder,2463,1270,1193,571392000,Congo DR,na,31,16,15,11,6,5,5,5,10,28,13,15,0,0,0,0,0,-1,0.4,0,0.4,32,0.43,0.38,224,1,88,4,4,0,79,616,0,0.15,22,215,-1,1,1289182800
5433,4241,Fredy Henkyer Montero Muñoz,Fredy Henkyer,Montero Muñoz,Fredy Henkyer Montero Muñoz,fredy-henkyer-montero-munoz,33,176,72,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/colombia/fredy-henkyer-montero-munoz,18,-1,-1,Forward,2533,1404,1129,554281200,Colombia,na,31,16,15,10,7,3,5,6,11,29,14,15,0,0,0,0,0,-1,0.36,0,0.36,35,0.45,0.24,253,1,87,6,6,0,82,422,0,0.21,33,213,-1,2,1289182800
646412,4241,Roger Levesque,Roger,Levesque,Roger Levesque,roger-levesque,39,188,79,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/usa/roger-levesque,18,-1,-1,Forward,510,192,318,348998400,USA,na,16,7,9,1,0,1,2,4,6,8,3,5,0,0,0,0,0,-1,0.18,0,0.18,38,0.0,0.28,510,1,64,0,0,0,32,0,0,0.0,80,205,-1,11,1283643300
5797,4241,Sanna Nyassi,Sanna,Nyassi,Sanna Nyassi,sanna-nyassi,31,173,66,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/gambia/sanna-nyassi,18,-1,-1,Midfielder,1358,648,710,602236800,Gambia,na,26,15,11,2,1,1,4,6,10,13,7,6,0,0,0,0,0,-1,0.13,0,0.13,38,0.14,0.13,679,0,104,2,2,0,52,679,0,0.13,96,212,-1,5,1289182800
5929,4241,Michael Fucito,Michael,Fucito,Michael Fucito,michael-fucito,34,175,75,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/usa/michael-fucito,18,-1,-1,Forward,74,40,34,512467200,USA,na,5,3,2,1,1,0,3,0,3,0,0,0,0,0,0,0,0,-1,1.22,0,1.22,60,2.25,0.0,74,0,0,0,0,0,15,0,0,0.0,-1,-1,-1,9,0
7758,4241,Patrick Ianni,Patrick,Ianni,Patrick Ianni,patrick-ianni,35,185,79,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/usa/patrick-ianni,18,-1,-1,Defender,2262,1015,1247,487666800,USA,na,27,13,14,0,0,0,4,6,10,27,10,17,0,0,0,0,0,-1,0.0,0,0.0,37,0.0,0.0,0,1,84,3,3,0,84,754,0,0.12,261,211,59,26,1289182800
317,4241,Nathan Sturgis,Nathan,Sturgis,Nathan Sturgis,nathan-sturgis,33,178,72,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/usa/nathan-sturgis,18,-1,-1,Midfielder,1627,859,768,552553200,USA,na,22,11,11,1,0,1,2,6,8,17,11,6,0,0,0,0,0,-1,0.06,0,0.06,36,0.0,0.12,1627,0,96,1,1,0,74,1627,0,0.06,147,210,-1,10,1289182800
432,4241,Tyson Wahl,Tyson,Wahl,Tyson Wahl,tyson-wahl,36,188,84,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/usa/tyson-wahl,18,-1,-1,Defender,241,90,151,446371200,USA,na,4,1,3,0,0,0,0,0,0,4,1,3,0,0,0,0,0,-1,0.0,0,0.0,0,0.0,0.0,0,1,60,0,0,0,60,0,0,0.0,-1,-1,-1,24,1283049000
7831,4241,David Estrada,David,Estrada,David Estrada,david-estrada,32,175,72,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/usa/david-estrada,18,-1,-1,Forward,88,7,81,570960000,USA,na,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-1,0.0,0,0.0,0,0.0,0.0,0,1,88,0,0,0,29,0,0,0.0,-1,-1,-1,23,1271980800
646554,4241,Terrence 'Terry' Boss,Terrence 'Terry',Boss,Terrence 'Terry' Boss,terrence-terry-boss,39,191,93,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/puerto-rico/terrence-terry-boss,18,-1,-1,Goalkeeper,44,0,44,368175600,Puerto Rico,na,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,44,0,0,0.0,-1,-1,-1,22,0
208,4241,Chris Seitz,Chris,Seitz,Chris Seitz,chris-seitz,33,191,107,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/usa/chris-seitz,16,-1,-1,Goalkeeper,2049,900,1149,542534400,USA,na,23,10,13,0,0,0,0,0,0,40,12,28,0,0,0,0,0,-1,0.0,0,0.0,0,0.0,0.0,0,1,51,0,0,0,89,0,0,0.0,262,209,138,10,1287950400
7859,4241,Danny Califf,Danny,Califf,Danny Califf,danny-califf,40,183,82,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/usa/danny-califf,16,-1,-1,Defender,2464,1260,1204,322128000,USA,na,28,14,14,0,0,0,2,0,2,43,14,29,0,0,0,0,0,-1,0.0,0,0.0,7,0.0,0.0,0,1,57,5,4,1,88,493,0,0.18,263,208,127,18,1287950400
254,4241,Jordan Harvey,Jordan,Harvey,Jordan Harvey,jordan-harvey,36,180,77,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/usa/jordan-harvey,16,-1,-1,Defender,2618,1343,1275,444124800,USA,na,30,15,15,1,0,1,2,0,2,47,15,32,0,0,0,0,0,-1,0.03,0,0.03,7,0.0,0.07,2618,1,56,3,3,0,87,873,0,0.1,178,207,131,7,1287950400
95071,4241,Dave Andrew Myrie Medrano,Dave Andrew,Myrie Medrano,Dave Andrew Myrie Medrano,dave-andrew-myrie-medrano,32,186,78,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/costa-rica/dave-andrew-myrie-medrano,16,-1,-1,Defender,84,0,84,581151600,Costa Rica,na,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,-1,0.0,0,0.0,0,0.0,0.0,0,2,42,1,1,0,84,84,0,1.07,-1,-1,-1,23,1269568500
51452,4241,Michael Orozco Fiscal,Michael,Orozco Fiscal,Michael Orozco Fiscal,michael-orozco-fiscal,34,180,75,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/usa/michael-orozco-fiscal,16,-1,-1,Defender,2562,1260,1302,508147200,USA,na,29,14,15,2,2,0,2,0,2,47,14,33,0,0,0,0,0,-1,0.07,0,0.07,7,0.14,0.0,1281,1,55,6,6,1,88,427,0,0.21,137,206,134,5,1287950400
117356,4241,Toni Ståhl,Toni,Ståhl,Toni Ståhl,toni-stahl,35,191,82,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/finland/toni-stahl,16,-1,-1,Defender,40,0,40,484642800,Finland,na,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-1,0.0,0,0.0,0,0.0,0.0,0,2,40,2,2,1,40,20,0,4.5,-1,-1,-1,22,1269568500
396,4241,Andrew Jacobson,Andrew,Jacobson,Andrew Jacobson,andrew-jacobson,35,188,83,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/usa/andrew-jacobson,16,-1,-1,Midfielder,1292,609,683,496479600,USA,na,25,13,12,0,0,0,2,0,2,22,6,16,0,0,0,0,0,-1,0.0,0,0.0,8,0.0,0.0,0,1,59,3,3,0,52,431,0,0.21,264,222,-1,21,1286496000
7855,4241,Róger Mauricio Torres Hoya,Róger Mauricio,Torres Hoya,Róger Mauricio Torres Hoya,roger-mauricio-torres-hoya,29,168,62,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/colombia/roger-mauricio-torres-hoya,16,-1,-1,Midfielder,961,446,515,679388400,Colombia,na,21,10,11,0,0,0,1,0,1,17,5,12,0,0,0,0,0,-1,0.0,0,0.0,5,0.0,0.0,0,1,57,4,4,0,46,240,0,0.37,265,214,-1,20,1286049600
211,4241,Sébastien Le Toux,Sébastien,Le Toux,Sébastien Le Toux,sebastien-le-toux,36,183,70,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/france/sebastien-le-toux,16,-1,-1,Forward,2520,1350,1170,442569600,France,na,28,15,13,14,11,3,2,0,2,42,15,27,0,0,0,2,0,100,0.5,0,0.5,7,0.73,0.23,180,1,60,0,0,0,90,0,0,0.0,13,223,-1,1,1287950400
646523,4241,Alejandro Enrique Moreno Riera,Alejandro Enrique,Moreno Riera,Alejandro Enrique Moreno Riera,alejandro-enrique-moreno-riera,41,175,77,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/venezuela/alejandro-enrique-moreno-riera,16,-1,-1,Forward,1971,935,1036,300265200,Venezuela,na,26,13,13,2,1,1,2,0,2,37,11,26,0,0,0,0,0,-1,0.09,0,0.09,8,0.1,0.09,986,1,53,1,1,0,76,1971,0,0.05,123,234,-1,6,1287950400
5930,4241,Danny Mwanga,Danny,Mwanga,Danny Mwanga,danny-mwanga,29,185,79,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/congo-dr/danny-mwanga,16,-1,-1,Forward,1463,899,564,679734000,Congo DR,na,24,13,11,7,4,3,2,0,2,22,8,14,0,0,0,0,0,-1,0.43,0,0.43,8,0.4,0.48,209,1,67,0,0,0,61,0,0,0.0,18,242,-1,2,1287950400
659905,4241,Stefani Miglioranzi,Stefani,Miglioranzi,Stefani Miglioranzi,stefani-miglioranzi,43,185,73,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/brazil/stefani-miglioranzi,16,-1,-1,Midfielder,2097,1075,1022,243586800,Brazil,na,26,13,13,0,0,0,2,0,2,33,10,23,0,0,0,0,0,-1,0.0,0,0.0,8,0.0,0.0,0,1,64,6,5,1,81,350,0,0.26,266,241,-1,19,1287950400
485,4241,Amobi Chidubem Okugo,Amobi Chidubem,Okugo,Amobi Chidubem Okugo,amobi-chidubem-okugo,29,183,79,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/usa/amobi-chidubem-okugo,16,-1,-1,Midfielder,437,228,209,668851200,USA,na,11,5,6,0,0,0,1,0,1,9,2,7,0,0,0,0,0,-1,0.0,0,0.0,9,0.0,0.0,0,1,49,0,0,0,40,0,0,0.0,257,240,-1,15,1285810200
245,4241,Jack McInerney,Jack,McInerney,Jack McInerney,jack-mcinerney,28,178,68,MLS,Domestic League,2010,2010,2010,https://footystats.org/players/usa/jack-mcinerney,16,-1,-1,Forward,343,115,228,712998000,USA,na,17,9,8,3,0,3,0,0,0,5,1,4,0,0,0,0,0,-1,0.79,0,0.79,0,0.0,1.18,114,1,69,1,1,0,20,343,0,0.26,2,239,-1,4,1273349400
