,id,season,utcDate,status,matchday,stage,group,lastUpdated,odds,score,homeTeam,awayTeam,referees
0,303759,"{'id': 619, 'startDate': '2020-09-12', 'endDate': '2021-05-23', 'currentMatchday': 9}",2020-09-12T11:30:00Z,FINISHED,1,REGULAR_SEASON,Regular Season,2020-09-13T00:08:13Z,{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 0, 'awayTeam': 3}, 'halfTime': {'homeTeam': 0, 'awayTeam': 1}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 63, 'name': 'Fulham FC'}","{'id': 57, 'name': 'Arsenal FC'}","[{'id': 11443, 'name': 'Chris Kavanagh', 'nationality': None}, {'id': 11438, 'name': 'Dan Cook', 'nationality': None}, {'id': 98555, 'name': 'Sian Massey-Ellis', 'nationality': None}, {'id': 11487, 'name': 'Kevin Friend', 'nationality': None}, {'id': 11556, 'name': 'David Coote', 'nationality': None}]"
1,303764,"{'id': 619, 'startDate': '2020-09-12', 'endDate': '2021-05-23', 'currentMatchday': 9}",2020-09-12T14:00:00Z,FINISHED,1,REGULAR_SEASON,Regular Season,2020-09-12T23:59:45Z,{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 1, 'awayTeam': 0}, 'halfTime': {'homeTeam': 1, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 354, 'name': 'Crystal Palace FC'}","{'id': 340, 'name': 'Southampton FC'}","[{'id': 11567, 'name': 'Jonathan Moss', 'nationality': None}, {'id': 14629, 'name': 'Matthew Perry', 'nationality': None}, {'id': 11431, 'name': 'Daniel Robathan', 'nationality': None}, {'id': 11430, 'name': 'Simon Hooper', 'nationality': None}, {'id': 11585, 'name': 'Craig Pawson', 'nationality': None}, {'id': 11531, 'name': 'Marc Perry', 'nationality': None}]"
2,303760,"{'id': 619, 'startDate': '2020-09-12', 'endDate': '2021-05-23', 'currentMatchday': 9}",2020-09-12T16:30:00Z,FINISHED,1,REGULAR_SEASON,Regular Season,2020-09-12T23:59:45Z,{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 4, 'awayTeam': 3}, 'halfTime': {'homeTeam': 3, 'awayTeam': 2}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 64, 'name': 'Liverpool FC'}","{'id': 341, 'name': 'Leeds United FC'}","[{'id': 11605, 'name': 'Michael Oliver', 'nationality': None}, {'id': 11564, 'name': 'Stuart Burt', 'nationality': None}, {'id': 11488, 'name': 'Simon Bennett', 'nationality': None}, {'id': 11575, 'name': 'Mike Dean', 'nationality': None}, {'id': 11520, 'name': 'Paul Tierney', 'nationality': None}]"
3,303763,"{'id': 619, 'startDate': '2020-09-12', 'endDate': '2021-05-23', 'currentMatchday': 9}",2020-09-12T19:00:00Z,FINISHED,1,REGULAR_SEASON,Regular Season,2020-09-13T18:34:40Z,{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 0, 'awayTeam': 2}, 'halfTime': {'homeTeam': 0, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 563, 'name': 'West Ham United FC'}","{'id': 67, 'name': 'Newcastle United FC'}","[{'id': 11494, 'name': 'Stuart Attwell', 'nationality': None}, {'id': 11606, 'name': 'Constantine Hatzidakis', 'nationality': None}, {'id': 11424, 'name': 'Neil Davies', 'nationality': None}, {'id': 11469, 'name': 'Darren England', 'nationality': None}, {'id': 11309, 'name': 'Peter Bankes', 'nationality': None}]"
4,303762,"{'id': 619, 'startDate': '2020-09-12', 'endDate': '2021-05-23', 'currentMatchday': 9}",2020-09-13T13:00:00Z,FINISHED,1,REGULAR_SEASON,Regular Season,2020-09-13T23:59:30Z,{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 0, 'awayTeam': 3}, 'halfTime': {'homeTeam': 0, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 74, 'name': 'West Bromwich Albion FC'}","{'id': 338, 'name': 'Leicester City FC'}","[{'id': 11580, 'name': 'Anthony Taylor', 'nationality': None}, {'id': 11581, 'name': 'Gary Beswick', 'nationality': None}, {'id': 11615, 'name': 'Adam Nunn', 'nationality': None}, {'id': 11309, 'name': 'Peter Bankes', 'nationality': None}, {'id': 11494, 'name': 'Stuart Attwell', 'nationality': None}]"
5,303761,"{'id': 619, 'startDate': '2020-09-12', 'endDate': '2021-05-23', 'currentMatchday': 9}",2020-09-13T15:30:00Z,FINISHED,1,REGULAR_SEASON,Regular Season,2020-09-13T23:59:30Z,{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 0, 'awayTeam': 1}, 'halfTime': {'homeTeam': 0, 'awayTeam': 0}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 73, 'name': 'Tottenham Hotspur FC'}","{'id': 62, 'name': 'Everton FC'}","[{'id': 11551, 'name': 'Martin Atkinson', 'nationality': None}, {'id': 11530, 'name': 'Lee Betts', 'nationality': None}, {'id': 11552, 'name': 'Peter Kirkup', 'nationality': None}, {'id': 11503, 'name': 'Graham Scott', 'nationality': None}, {'id': 11610, 'name': 'Andre Marriner', 'nationality': None}]"
6,303765,"{'id': 619, 'startDate': '2020-09-12', 'endDate': '2021-05-23', 'currentMatchday': 9}",2020-09-14T17:00:00Z,FINISHED,1,REGULAR_SEASON,Regular Season,2020-09-14T23:59:36Z,{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 0, 'awayTeam': 2}, 'halfTime': {'homeTeam': 0, 'awayTeam': 2}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 356, 'name': 'Sheffield United FC'}","{'id': 76, 'name': 'Wolverhampton Wanderers FC'}","[{'id': 11575, 'name': 'Mike Dean', 'nationality': None}, {'id': 11576, 'name': 'Darren Cann', 'nationality': None}, {'id': 11521, 'name': 'Mark Scholes', 'nationality': None}, {'id': 11479, 'name': 'Lee Mason', 'nationality': None}, {'id': 11503, 'name': 'Graham Scott', 'nationality': None}]"
7,303766,"{'id': 619, 'startDate': '2020-09-12', 'endDate': '2021-05-23', 'currentMatchday': 9}",2020-09-14T19:15:00Z,FINISHED,1,REGULAR_SEASON,Regular Season,2020-09-15T00:15:01Z,{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 1, 'awayTeam': 3}, 'halfTime': {'homeTeam': 0, 'awayTeam': 1}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 397, 'name': 'Brighton & Hove Albion FC'}","{'id': 61, 'name': 'Chelsea FC'}","[{'id': 11585, 'name': 'Craig Pawson', 'nationality': None}, {'id': 11495, 'name': 'Ian Hussin', 'nationality': None}, {'id': 11586, 'name': 'Richard West', 'nationality': None}, {'id': 11430, 'name': 'Simon Hooper', 'nationality': None}, {'id': 11487, 'name': 'Kevin Friend', 'nationality': None}]"
8,303772,"{'id': 619, 'startDate': '2020-09-12', 'endDate': '2021-05-23', 'currentMatchday': 9}",2020-09-19T11:30:00Z,FINISHED,2,REGULAR_SEASON,Regular Season,2020-09-19T21:31:33Z,{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 5, 'awayTeam': 2}, 'halfTime': {'homeTeam': 2, 'awayTeam': 1}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 62, 'name': 'Everton FC'}","{'id': 74, 'name': 'West Bromwich Albion FC'}","[{'id': 11575, 'name': 'Mike Dean', 'nationality': None}, {'id': 11576, 'name': 'Darren Cann', 'nationality': None}, {'id': 11431, 'name': 'Daniel Robathan', 'nationality': None}, {'id': 11472, 'name': 'Jeremy Simpson', 'nationality': None}, {'id': 11430, 'name': 'Simon Hooper', 'nationality': None}]"
9,303775,"{'id': 619, 'startDate': '2020-09-12', 'endDate': '2021-05-23', 'currentMatchday': 9}",2020-09-19T14:00:00Z,FINISHED,2,REGULAR_SEASON,Regular Season,2020-09-19T19:01:33Z,{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'homeTeam': 4, 'awayTeam': 3}, 'halfTime': {'homeTeam': 2, 'awayTeam': 1}, 'extraTime': {'homeTeam': None, 'awayTeam': None}, 'penalties': {'homeTeam': None, 'awayTeam': None}}","{'id': 341, 'name': 'Leeds United FC'}","{'id': 63, 'name': 'Fulham FC'}","[{'id': 11580, 'name': 'Anthony Taylor', 'nationality': None}, {'id': 11581, 'name': 'Gary Beswick', 'nationality': None}, {'id': 11615, 'name': 'Adam Nunn', 'nationality': None}, {'id': 11487, 'name': 'Kevin Friend', 'nationality': None}, {'id': 11494, 'name': 'Stuart Attwell', 'nationality': None}]"
